spec,dst_pair,dst_pair_dps,tsunami_pair,tsunami_pair_dps,next_pair,next_pair_dps,dst_over_tsunami_dps,tsunami_over_next_dps
Combat Rogue,Dragonspine Trophy + Warp-Spring Coil (30450),1952.96,Tsunami Talisman + Warp-Spring Coil (30450),1908.94,Bloodlust Brooch (29383) + Warp-Spring Coil (30450),1906.58,44.02,2.36
Survival Hunter,Dragonspine Trophy + Bloodlust Brooch (29383),1867.10,Tsunami Talisman + Bloodlust Brooch (29383),1835.67,Abacus of Violent Odds (28288) + Bloodlust Brooch (29383),1830.85,31.43,4.82
Fury Warrior,Dragonspine Trophy + Bloodlust Brooch (29383),1583.43,Tsunami Talisman + Bloodlust Brooch (29383),1549.50,Abacus of Violent Odds (28288) + Bloodlust Brooch (29383),1544.86,33.93,4.64
Enhancement Shaman,Dragonspine Trophy + Bloodlust Brooch (29383),2106.67,Tsunami Talisman + Bloodlust Brooch (29383),2072.73,Abacus of Violent Odds (28288) + Bloodlust Brooch (29383),2066.81,33.94,5.92
Retribution Paladin,Dragonspine Trophy + Bloodlust Brooch (29383),2190.45,Tsunami Talisman + Bloodlust Brooch (29383),2132.27,Abacus of Violent Odds (28288) + Bloodlust Brooch (29383),2135.82,58.18,-3.55
Arms Warrior,Dragonspine Trophy + Bloodlust Brooch (29383),1394.65,Tsunami Talisman + Bloodlust Brooch (29383),1364.89,Abacus of Violent Odds (28288) + Bloodlust Brooch (29383),1366.91,29.76,-2.02
BM Hunter,Dragonspine Trophy + Bloodlust Brooch (29383),1943.72,Tsunami Talisman + Bloodlust Brooch (29383),1921.09,Hourglass of the Unraveller (28034) + Bloodlust Brooch (29383),1916.23,22.63,4.86
Feral Cat,Dragonspine Trophy + Bloodlust Brooch (29383),2435.43,Tsunami Talisman + Bloodlust Brooch (29383),2429.82,Empty Mug of Direbrew (38287) + Bloodlust Brooch (29383),2424.35,5.61,5.47
